,welch_2,welch_10,welch_15,welch_20,welch_25,welch_30,welch_35
50,4.708906696906896e-10,1.5417216166343052e-09,3.2380017688181856e-09,7.712535139975634e-09,1.1451939830261067e-08,1.355521964785855e-08,2.2897396683800027e-08
51,4.393251866748888e-10,1.432487596378786e-09,2.4978225684235617e-09,3.9212798292327596e-09,6.543040964987951e-09,7.0121431476975886e-09,3.1170137656254407e-09
52,3.694930206401922e-10,1.5067936110902423e-09,3.2560489209145713e-09,5.734918804951639e-09,6.8070637365355624e-09,6.725349492006232e-09,1.1826519989711286e-08
53,3.73517795225633e-10,1.5139152217450751e-09,2.8024478471073102e-09,4.701055136288997e-09,1.0021374341565992e-08,1.0622491293455451e-08,2.8007739976344137e-09
54,3.458602051767674e-10,1.2870056762175304e-09,2.839659362620421e-09,4.441947498023903e-09,7.70175844815211e-09,7.914766490442368e-09,5.529317064652677e-10
55,3.5032472235010963e-10,1.3247324774152299e-09,2.1812394361516814e-09,5.966179780456206e-09,9.150598154801142e-09,9.227698575754597e-09,1.052255618547204e-08
56,3.142852314860665e-10,1.1598557557914034e-09,2.167646971887717e-09,4.264400443265339e-09,5.5955090886477575e-09,3.864744207588906e-09,1.629044693561176e-08
57,2.9694225937862213e-10,1.163834035856758e-09,2.3110098263175935e-09,3.6087506590653467e-09,4.424017299278062e-09,3.9448444210353585e-10,4.041256683695277e-09
58,2.781670302255113e-10,8.798841328430584e-10,2.137869868676873e-09,3.955830850292688e-09,8.145898954700766e-09,4.611088028578596e-09,4.916075278810622e-09
59,2.650359463762808e-10,1.0903597119231746e-09,1.9361647056861197e-09,4.414193493577191e-09,4.613948792556541e-09,1.557036398542576e-09,2.3441244570568107e-09
60,2.6419630251729267e-10,1.087294269187851e-09,1.8063554518241466e-09,3.1626665418151524e-09,6.549887727838444e-09,3.519669571575335e-09,1.0537582347649823e-09
61,2.465408966702829e-10,7.889733926862552e-10,1.3030687332035153e-09,2.9888586755852513e-09,3.297184723215069e-09,8.738526964206101e-09,7.506952349426656e-09
62,2.382025590059948e-10,7.182402998899448e-10,1.361975584138278e-09,1.881386325794533e-09,4.435850268273232e-09,8.926021029494304e-09,4.587878021467869e-09
63,2.200835175482232e-10,7.730432276822885e-10,1.7903942303997208e-09,3.760162485531589e-09,4.232043543334544e-09,2.6257520074807722e-09,2.5495374642891645e-09
64,2.172802826991547e-10,6.296771183101238e-10,1.5498791994875202e-09,4.7695463656975264e-09,4.960607029631435e-09,1.035999119613194e-09,1.750617801092088e-09
65,2.0199893648919783e-10,8.626475621033918e-10,1.1783566663373438e-09,1.4652368060671165e-09,3.3704557571038935e-09,2.2130948411678904e-09,8.038329162091961e-10
66,1.9526288072961403e-10,6.025614024208983e-10,1.615139594531691e-09,2.4056901329445915e-09,2.0465620822756576e-09,2.788906467403773e-09,1.6335775884633349e-09
67,1.825973246034787e-10,7.192676932197855e-10,1.2053927715934247e-09,2.4423782917472706e-09,4.578653186958236e-09,3.749770089120116e-09,6.405089292855269e-09
